INFO:root:Episode: 600, length: 116, reward: -194.90, ewma reward: -282.00, val loss: 271466.31, act loss: -5019.01
INFO:root:Episode: 620, length: 162, reward: -171.31, ewma reward: -317.03, val loss: 403732.68, act loss: -5882.12
INFO:root:Episode: 640, length: 116, reward: -180.94, ewma reward: -344.21, val loss: 459955.28, act loss: -7220.97
INFO:root:Episode: 660, length: 85, reward: -189.28, ewma reward: -240.50, val loss: 535109.45, act loss: -12028.77
INFO:root:Episode: 680, length: 61, reward: -185.69, ewma reward: -221.77, val loss: 438898.46, act loss: -13339.14
INFO:root:Episode: 700, length: 96, reward: -339.09, ewma reward: -231.27, val loss: 583301.30, act loss: -14479.30
INFO:root:Episode: 720, length: 78, reward: -320.81, ewma reward: -229.55, val loss: 725616.69, act loss: -16045.88
INFO:root:Episode: 740, length: 123, reward: -258.43, ewma reward: -168.28, val loss: 805118.41, act loss: -18885.13
INFO:root:Episode: 760, length: 355, reward: -71.07, ewma reward: -136.14, val loss: 825518.85, act loss: -20787.35
INFO:root:Episode: 780, length: 130, reward: -136.07, ewma reward: -139.04, val loss: 1018122.39, act loss: -21566.22
INFO:root:Episode: 800, length: 123, reward: -183.76, ewma reward: -177.70, val loss: 926441.21, act loss: -22597.20
INFO:root:Episode: 820, length: 189, reward: -151.26, ewma reward: -177.00, val loss: 976955.97, act loss: -23959.17
INFO:root:Episode: 840, length: 195, reward: -167.25, ewma reward: -184.43, val loss: 1173974.90, act loss: -25414.69
INFO:root:Episode: 860, length: 328, reward: -340.33, ewma reward: -205.92, val loss: 1264705.41, act loss: -27483.92
INFO:root:Episode: 880, length: 337, reward: -153.33, ewma reward: -180.46, val loss: 1417867.85, act loss: -30411.82
INFO:root:Episode: 900, length: 1000, reward: -80.23, ewma reward: -129.19, val loss: 1794143.46, act loss: -37461.52
INFO:root:Episode: 920, length: 297, reward: -129.72, ewma reward: -106.91, val loss: 1710429.69, act loss: -42105.20
INFO:root:Episode: 940, length: 1000, reward: -139.72, ewma reward: -125.32, val loss: 2087205.23, act loss: -47016.37
INFO:root:Episode: 960, length: 1000, reward: -86.19, ewma reward: -104.29, val loss: 1869645.91, act loss: -45876.70
INFO:root:Episode: 980, length: 235, reward: -306.82, ewma reward: -154.30, val loss: 1911437.99, act loss: -42462.65
INFO:root:Running reward is now -256.6404763669756 and the total episode is 999.
INFO:root:lr_a = 0.005408809312773928, lr_c = 0.0013145815240252292 , lr_a_decay=0.8827334748836906 , lr_c_decay=0.9557457616527987, noise_scale = 0.291950682826838 , batch_size = 99
INFO:root:Episode: 0, length: 87, reward: -354.25, ewma reward: -17.71, val loss: nan, act loss: nan
INFO:root:Episode: 20, length: 123, reward: -272.29, ewma reward: -281.07, val loss: 25.13, act loss: 4.10
INFO:root:Episode: 40, length: 162, reward: -53.20, ewma reward: -263.59, val loss: 22.19, act loss: -2.70
INFO:root:Episode: 60, length: 905, reward: -194.91, ewma reward: -206.80, val loss: 24.42, act loss: -20.81
INFO:root:Episode: 80, length: 152, reward: -132.12, ewma reward: -166.32, val loss: 34.91, act loss: -33.44
INFO:root:Episode: 100, length: 380, reward: -261.07, ewma reward: -154.28, val loss: 46.85, act loss: -59.40
INFO:root:Episode: 120, length: 186, reward: -217.10, ewma reward: -201.52, val loss: 54.92, act loss: -82.51
INFO:root:Episode: 140, length: 114, reward: -76.43, ewma reward: -220.49, val loss: 61.62, act loss: -98.95
INFO:root:Episode: 160, length: 632, reward: -147.10, ewma reward: -217.93, val loss: 97.26, act loss: -127.14
INFO:root:Episode: 180, length: 201, reward: -289.71, ewma reward: -175.25, val loss: 131.60, act loss: -214.34
INFO:root:Episode: 200, length: 276, reward: -144.89, ewma reward: -93.96, val loss: 154.37, act loss: -247.24
INFO:root:Episode: 220, length: 76, reward: -56.29, ewma reward: -68.33, val loss: 201.02, act loss: -284.61
INFO:root:Episode: 240, length: 121, reward: -341.53, ewma reward: -92.85, val loss: 416.25, act loss: -304.86
INFO:root:Episode: 260, length: 99, reward: -41.14, ewma reward: -106.05, val loss: 344.78, act loss: -311.79
INFO:root:Episode: 280, length: 135, reward: -113.16, ewma reward: -99.72, val loss: 681.40, act loss: -326.11
INFO:root:Episode: 300, length: 63, reward: -147.82, ewma reward: -106.16, val loss: 519.30, act loss: -338.00
INFO:root:Episode: 320, length: 82, reward: -174.61, ewma reward: -132.76, val loss: 449.85, act loss: -353.20
INFO:root:Episode: 340, length: 294, reward: 215.65, ewma reward: -100.70, val loss: 509.82, act loss: -359.23
INFO:root:Episode: 360, length: 80, reward: -169.03, ewma reward: -101.15, val loss: 613.71, act loss: -381.93
INFO:root:Episode: 380, length: 66, reward: -66.69, ewma reward: -99.88, val loss: 993.39, act loss: -406.10
INFO:root:Episode: 400, length: 244, reward: -192.51, ewma reward: -153.75, val loss: 816.46, act loss: -436.62
INFO:root:Episode: 420, length: 179, reward: -237.10, ewma reward: -179.28, val loss: 919.51, act loss: -478.20
INFO:root:Episode: 440, length: 82, reward: -263.79, ewma reward: -242.07, val loss: 1002.20, act loss: -516.53
INFO:root:Episode: 460, length: 195, reward: -202.64, ewma reward: -269.60, val loss: 1011.61, act loss: -547.59
INFO:root:Episode: 480, length: 82, reward: -221.07, ewma reward: -246.47, val loss: 1032.08, act loss: -569.86
INFO:root:Episode: 500, length: 103, reward: -142.87, ewma reward: -231.18, val loss: 1231.48, act loss: -584.57
INFO:root:Episode: 520, length: 122, reward: -244.46, ewma reward: -234.31, val loss: 913.26, act loss: -598.18
INFO:root:Episode: 540, length: 109, reward: -222.33, ewma reward: -251.13, val loss: 773.31, act loss: -608.23
INFO:root:Episode: 560, length: 116, reward: -177.12, ewma reward: -267.23, val loss: 684.96, act loss: -620.97
INFO:root:Episode: 580, length: 92, reward: -140.30, ewma reward: -218.20, val loss: 1060.46, act loss: -637.19
INFO:root:Episode: 600, length: 140, reward: -276.19, ewma reward: -216.63, val loss: 747.85, act loss: -663.01
INFO:root:Episode: 620, length: 374, reward: -1863.35, ewma reward: -289.13, val loss: 878.46, act loss: -681.38
INFO:root:Episode: 640, length: 352, reward: -202.73, ewma reward: -674.89, val loss: 688.72, act loss: -669.46
INFO:root:Episode: 660, length: 173, reward: -217.67, ewma reward: -361.09, val loss: 653.40, act loss: -653.62
INFO:root:Episode: 680, length: 174, reward: -162.04, ewma reward: -249.37, val loss: 600.33, act loss: -645.60
INFO:root:Episode: 700, length: 183, reward: -167.63, ewma reward: -190.38, val loss: 475.29, act loss: -626.78
INFO:root:Episode: 720, length: 233, reward: -86.10, ewma reward: -143.20, val loss: 585.88, act loss: -593.06
INFO:root:Episode: 740, length: 273, reward: -149.61, ewma reward: -154.82, val loss: 372.29, act loss: -576.56
INFO:root:Episode: 760, length: 1000, reward: -30.25, ewma reward: -111.75, val loss: 313.41, act loss: -525.63
INFO:root:Episode: 780, length: 277, reward: -164.62, ewma reward: -117.37, val loss: 232.97, act loss: -493.45
INFO:root:Episode: 800, length: 1000, reward: -86.11, ewma reward: -124.09, val loss: 218.40, act loss: -469.32
INFO:root:Episode: 820, length: 1000, reward: -126.30, ewma reward: -119.17, val loss: 238.76, act loss: -452.39
INFO:root:Episode: 840, length: 91, reward: -98.25, ewma reward: -100.69, val loss: 207.54, act loss: -397.16
INFO:root:Episode: 860, length: 59, reward: -46.31, ewma reward: -89.16, val loss: 202.89, act loss: -378.18
INFO:root:Episode: 880, length: 94, reward: 28.16, ewma reward: -45.00, val loss: 196.56, act loss: -375.52
INFO:root:Episode: 900, length: 132, reward: -161.47, ewma reward: -86.85, val loss: 139.22, act loss: -389.54
